baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025481.12	243.770183036785	4.57712395668407	0.239222116931497	19.1333644873428	1.33193935317516e-81	2.17745012306065e-79
ENSMUSG00000002384.2	247.538329259163	4.43095469838708	0.232101302932426	19.0906067411311	3.02238606749251e-81	4.90114024557576e-79
ENSMUSG00000040152.8	93737.2239352442	-1.87260900477989	0.0981248015806445	-19.083952014322	3.43292956360399e-81	5.52234781319593e-79
ENSMUSG00000006310.10	295.568810841114	5.63962388914839	0.295786497255203	19.066535969296	4.79003334356056e-81	7.64428495812029e-79
ENSMUSG00000030168.13	2442.9549221936	2.0784127487334	0.10920518768435	19.0321796318039	9.23312236455513e-81	1.46188680713759e-78
ENSMUSG00000027377.2	378.071933854935	7.05251755399554	0.370813614962607	19.019036166476	1.18644526619315e-80	1.8638313603603e-78
ENSMUSG00000052180.15	292.04907955386	4.69981311827494	0.247501966095885	18.9889930670457	2.10322822053064e-80	3.27842736887055e-78
ENSMUSG00000033491.13	657.725884900306	2.68504152466654	0.141697639279905	18.9490914479005	4.49273160758168e-80	6.94921901271172e-78
ENSMUSG00000025085.16	1460.71532535585	2.09037532277629	0.110379118446886	18.9381411284071	5.53158511533962e-80	8.49077202284344e-78
ENSMUSG00000034382.14	236.020316127389	4.14740900044997	0.219791658041566	18.869728894195	2.023338195427e-79	3.08221851770046e-77
ENSMUSG00000042367.12	551.453970347507	3.15874712731958	0.167604159649911	18.8464721515118	3.14103737737942e-79	4.7488706454395e-77
ENSMUSG00000003283.15	351.127929622616	3.50776918753543	0.187071975311515	18.7509068725781	1.9031783166957e-78	2.85590370090427e-76
ENSMUSG00000098678.1	270.808153713485	5.94901155777852	0.318803739710925	18.6604196148162	1.03912034913503e-77	1.5477505170672e-75
ENSMUSG00000035852.11	755.126174703286	8.82530611026305	0.472997385148954	18.658255600047	1.08206249479419e-77	1.59986122392071e-75
ENSMUSG00000036473.16	1493.57232919081	1.85073325077016	0.0993954345558984	18.6199020009247	2.2161926782533e-77	3.25278849447572e-75
ENSMUSG00000027544.16	366.337687002307	7.09613521359138	0.38272808529551	18.5409315026159	9.65350842947549e-77	1.40661411231807e-74
ENSMUSG00000031298.15	1967.55470258852	-1.95196584933575	0.105477942535177	-18.5059150986451	1.85009968478592e-76	2.67638881019247e-74
ENSMUSG00000026450.14	354.23691097089	7.04761281733432	0.381760186501112	18.4608376319352	4.26673135645531e-76	6.12824529397167e-74
ENSMUSG00000028111.4	1432.82971643427	-1.72441893941228	0.0936674582563141	-18.4100110274534	1.09200339951372e-75	1.55730527357603e-73
ENSMUSG00000023092.16	1690.77992558806	-1.72116839930177	0.0935999943765005	-18.3885523793781	1.62254708191257e-75	2.29761807909141e-73
ENSMUSG00000047501.3	1465.31094673592	10.2982822876388	0.560684681239785	18.3673330701086	2.39914472018904e-75	3.37356657577352e-73
ENSMUSG00000087166.9	1521.61176567075	10.3511141713731	0.563639594982192	18.3647746956105	2.51491256180056e-75	3.51179595782539e-73
ENSMUSG00000020782.18	792.437470233774	3.31654443752879	0.180726212143437	18.3512087051133	3.22849803603294e-75	4.47714748334829e-73
ENSMUSG00000033361.13	581.554295101117	2.41385027608752	0.132200991015309	18.2589423691083	1.75660861029194e-74	2.41930725587331e-72
ENSMUSG00000006342.15	314.47926330079	3.44881624489636	0.188993512138017	18.2483314156191	2.13326012450773e-74	2.9180676587484e-72
ENSMUSG00000039621.13	359.960860957084	3.67954196227013	0.202468240711621	18.1734278390405	8.37959924044266e-74	1.13849311842447e-71
