	clust	group
W113091	10	mTEC-I
W113096	16	mTEC-I
W113097	6	mTEC-I
W113098	14	mTEC-I
W113103	3	mTEC-IV
W431825	1	mTEC-IV
W431828	8	mTEC-I
W431831	3	mTEC-IV
W431837	30	mTEC-II
W431844	21	mTEC-I
W431850	7	mTEC-I
W431854	21	mTEC-I
W431863	6	mTEC-I
W431866	7	mTEC-I
W431867	1	mTEC-IV
W431871	5	cTEC
W431883	1	mTEC-IV
W431884	1	mTEC-IV
W431885	9	mTEC-I
W431894	1	mTEC-IV
W431895	21	mTEC-I
W431897	1	mTEC-IV
W431899	5	cTEC
W431900	35	mTEC-II
W431910	4	cTEC
W431911	6	mTEC-I
W431924	6	mTEC-I
W431926	28	mTEC-II
W431940	6	mTEC-I
W431947	25	mTEC-II
W431952	8	mTEC-I
W431953	8	mTEC-I
W431954	29	mTEC-II
W431960	1	mTEC-IV
W431964	26	mTEC-II
W431965	8	mTEC-I
W431974	6	mTEC-I
W431975	16	mTEC-I
W431982	3	mTEC-IV
W431992	8	mTEC-I
W431994	20	mTEC-I
W431996	3	mTEC-IV
W432001	2	mTEC-IV
W432003	8	mTEC-I
W432005	1	mTEC-IV
W432006	34	mTEC-II
W432008	24	mTEC-III
W432009	6	mTEC-I
W432011	30	mTEC-II
W432013	10	mTEC-I
W431442	8	mTEC-I
W431450	29	mTEC-II
W431452	21	mTEC-I
W431453	7	mTEC-I
W431458	5	cTEC
W431462	25	mTEC-II
W431463	24	mTEC-III
W431475	14	mTEC-I
W431479	17	mTEC-I
W431481	8	mTEC-I
W431486	25	mTEC-II
W431489	14	mTEC-I
W431490	10	mTEC-I
W431493	29	mTEC-II
W431505	6	mTEC-I
W431507	35	mTEC-II
W431514	3	mTEC-IV
W431518	26	mTEC-II
W431519	21	mTEC-I
W431525	29	mTEC-II
W431535	29	mTEC-II
W431536	3	mTEC-IV
W431539	8	mTEC-I
W431540	22	mTEC-III
W431546	35	mTEC-II
W431553	8	mTEC-I
W431560	3	mTEC-IV
W431561	30	mTEC-II
W431574	15	mTEC-I
W431579	7	mTEC-I
W431580	8	mTEC-I
W431587	8	mTEC-I
W431588	2	mTEC-IV
W431590	29	mTEC-II
W431598	4	cTEC
W431603	28	mTEC-II
W431604	8	mTEC-I
W431606	26	mTEC-II
W431613	29	mTEC-II
